Chunk_ID,Size_Bytes,HashTime_uS,VerifyTime_uS,Valid
1,4096,88045,72686.70,True
2,4096,80991,56672.30,True
3,4096,67701,56413.40,True
4,4096,66880,54338.80,True
5,4096,67824,56852.10,True
6,4096,75871,58438.60,True
7,4096,80479,56899.70,True
8,4096,67919,55104.60,True
9,4096,75194,54586.70,True
10,4096,82691,56960.80,True
11,4096,75786,56007.00,True
12,4096,72312,61303.30,True
13,4096,72772,57306.20,True
14,4096,59467,57248.90,True
15,4096,84203,57577.50,True
16,4096,59875,58619.00,True
17,4096,63804,56439.80,True
18,4096,64757,55290.90,True
19,4096,82054,57640.50,True
20,4096,68877,57612.00,True
21,4096,72613,56796.10,True
22,4096,67220,56870.10,True
23,4096,64808,59303.00,True
24,4096,59615,57087.10,True
25,4096,71158,55133.50,True
26,4096,75958,56757.50,True
27,4096,71871,59119.50,True
28,4096,82638,58722.00,True
29,4096,65134,58449.50,True
30,4096,87800,57240.40,True
31,4096,63877,55374.10,True
32,4096,67552,58635.00,True
33,4096,64842,55457.70,True
34,4096,71266,60093.00,True
35,4096,75951,55579.30,True
36,4096,67790,56233.80,True
37,4096,71686,58607.80,True
38,4096,72752,58859.70,True
39,4096,67854,59093.00,True
40,4096,69963,58660.30,True
41,4096,61159,56476.00,True
42,4096,60797,56380.90,True
43,4096,79208,57437.90,True
44,4096,59652,54226.20,True
45,4096,67884,55545.50,True
46,4096,67883,55546.90,True
47,4096,59866,54935.10,True
48,4096,67887,54952.00,True
49,4096,68364,57355.80,True
50,4096,66460,54855.50,True
51,4096,71413,56986.60,True
52,4096,74008,55699.80,True
53,4096,67887,56734.00,True
54,4096,71196,58009.60,True
55,4096,58760,54228.80,True
56,4096,65628,58186.60,True
57,4096,75315,56303.80,True
58,4096,71824,58463.00,True
59,4096,67914,56844.00,True
60,4096,67851,54928.10,True
61,4096,68512,57324.00,True
62,4096,83314,57373.10,True
63,4096,60552,54672.40,True
64,4096,73370,58618.10,True
65,4096,69796,56278.30,True
66,4096,71042,53648.00,True
67,4096,87662,56571.90,True
68,4096,62704,54688.90,True
69,4096,69131,57131.60,True
70,4096,67835,55170.80,True
71,4096,63746,56024.80,True
72,4096,63397,57754.00,True
73,4096,51692,54629.10,True
74,4096,64502,57719.60,True
75,4096,80573,58182.70,True
76,4096,59356,55733.50,True
77,4096,67773,57708.80,True
78,4096,71878,54856.70,True
79,4096,75678,58463.00,True
80,4096,72598,55662.30,True
81,4096,63640,57070.70,True
82,4096,75429,58670.70,True
83,4096,75858,56818.80,True
84,4096,67885,55421.30,True
85,4096,58574,55766.00,True
86,4096,77939,55358.80,True
87,4096,82297,56155.60,True
88,4096,62014,52533.20,True
89,4096,57226,58855.90,True
90,4096,68931,54554.60,True
91,4096,76114,55632.70,True
92,4096,64470,56540.30,True
93,4096,67272,54835.40,True
94,4096,68563,57167.60,True
95,4096,70993,56496.50,True
96,4096,68568,56721.80,True
97,4096,74649,55084.70,True
98,4096,45646,55575.20,True
99,4096,75498,60479.80,True
100,4096,71284,56185.00,True
101,4096,71772,58837.00,True
102,4096,59421,56729.60,True
103,4096,71173,56908.50,True
104,4096,66036,53941.20,True
105,4096,66906,58925.70,True
106,4096,67799,57743.00,True
107,4096,72628,55635.40,True
108,4096,61048,59538.90,True
109,4096,78025,56880.60,True
110,4096,87954,56920.00,True
111,4096,75903,57538.70,True
112,4096,64541,58708.10,True
113,4096,64082,57498.40,True
114,4096,67854,67786.30,True
115,4096,65185,58708.10,True
116,4096,67885,55540.40,True
117,4096,67884,59632.90,True
118,4096,63464,58065.30,True
119,4096,71994,58294.30,True
120,4096,77106,53957.80,True
121,4096,61830,57017.50,True
122,4096,61320,54814.70,True
123,4096,78429,56004.50,True
124,4096,79901,57314.90,True
125,4096,63948,56196.90,True
126,4096,63820,56199.20,True
127,4096,68265,56347.20,True
128,4096,60659,56567.60,True
129,4096,62719,55337.60,True
130,4096,59964,56546.20,True
131,4096,67231,56839.00,True
132,4096,85989,58447.10,True
133,4096,71998,55986.00,True
134,4096,60872,55116.80,True
