Chunk_ID,Size_Bytes,SeqNum,HashTime_uS,UploadLatency_uS,FetchLatency_uS,VerifyTime_uS,Valid
1,4096,0,34,172855,605235,19,True
2,4096,1,95,162921,573900,11,True
3,4096,2,18,169304,583107,10,True
4,4096,3,17,177891,592217,11,True
5,4096,4,16,181762,589106,10,True
6,4096,5,16,176038,595487,9,True
7,4096,6,43,170160,586785,12,True
8,4096,7,12,168796,589301,8,True
9,4096,8,12,169577,574829,12,True
10,4096,9,12,173937,587624,8,True
11,4096,10,13,177525,580013,11,True
12,4096,11,12,172520,589821,14,True
13,4096,12,12,181699,588127,11,True
14,4096,13,32,167070,580507,10,True
15,4096,14,166,172485,587812,15,True
16,4096,15,36,179500,589233,8,True
17,4096,16,31,178984,580434,14,True
18,4096,17,11,174858,584771,14,True
19,4096,18,11,176354,582100,10,True
20,4096,19,11,170770,625273,19,True
21,4096,20,10,167690,581162,11,True
22,4096,21,11,174818,601386,12,True
23,4096,22,11,176629,600818,14,True
24,4096,23,16,168321,587118,11,True
25,4096,24,16,181586,617073,14,True
26,4096,25,15,175898,581698,14,True
27,4096,26,16,176150,584707,8,True
28,4096,27,16,175070,579409,11,True
29,4096,28,16,175721,582278,11,True
30,4096,29,15,177661,572254,12,True
31,4096,30,15,179977,576780,9,True
32,4096,31,15,177894,572439,8,True
33,4096,32,16,241524,595486,8,True
34,4096,33,15,177171,596151,8,True
35,4096,34,15,190086,590564,8,True
36,4096,35,15,181573,573163,9,True
37,4096,36,15,182632,605745,11,True
38,4096,37,15,192685,581867,15,True
39,4096,38,16,176785,583683,10,True
40,4096,39,15,186839,578840,8,True
41,4096,40,15,192469,582491,20,True
42,4096,41,15,175498,589024,11,True
43,4096,42,16,181772,602561,12,True
44,4096,43,15,186059,571258,11,True
45,4096,44,15,177771,583017,12,True
46,4096,45,15,179502,576233,8,True
47,4096,46,16,173639,596400,8,True
48,4096,47,15,185754,594275,8,True
49,4096,48,15,203112,587691,16,True
50,4096,49,15,180761,573244,12,True
51,4096,50,15,170954,584711,9,True
52,4096,51,16,177181,624944,21,True
53,4096,52,15,191457,606437,9,True
54,4096,53,15,177573,593987,10,True
55,4096,54,15,188826,581235,9,True
56,4096,55,15,171138,581076,8,True
57,4096,56,15,172185,594891,14,True
58,4096,57,16,172052,632917,9,True
59,4096,58,16,163966,569965,11,True
60,4096,59,16,175913,573745,11,True
61,4096,60,15,185568,575095,15,True
62,4096,61,15,173368,584876,12,True
63,4096,62,15,178005,579283,13,True
64,4096,63,15,182505,579420,8,True
65,4096,64,16,180277,583871,12,True
66,4096,65,14,169428,586531,23,True
67,4096,66,17,181358,693733,13,True
68,4096,67,15,185771,623862,11,True
69,4096,68,15,189996,575293,17,True
70,4096,69,15,173550,576482,11,True
71,4096,70,15,179657,578347,13,True
72,4096,71,16,178355,585192,9,True
73,4096,72,15,177796,587155,10,True
74,4096,73,16,173389,586227,10,True
75,4096,74,16,175465,594831,12,True
76,4096,75,15,173734,578462,9,True
77,4096,76,15,176998,569749,9,True
78,4096,77,15,176427,566211,25,True
79,4096,78,17,182755,578761,12,True
80,4096,79,17,163254,594456,11,True
81,4096,80,15,176008,583766,13,True
82,4096,81,15,175439,579391,27,True
83,4096,82,15,182207,586125,13,True
84,4096,83,15,167583,598578,10,True
85,4096,84,15,175189,563032,14,True
86,4096,85,15,177917,599793,30,True
87,4096,86,16,180843,573216,11,True
88,4096,87,15,215362,577294,8,True
89,4096,88,15,179897,585561,8,True
90,4096,89,15,187826,579728,15,True
91,4096,90,16,180643,589687,9,True
92,4096,91,15,179102,586987,16,True
93,4096,92,15,184741,571316,15,True
94,4096,93,15,166527,568642,10,True
95,4096,94,16,176135,572442,9,True
96,4096,95,15,173186,571414,15,True
97,4096,96,15,175532,573842,13,True
98,4096,97,17,186708,576778,10,True
99,4096,98,16,176734,573074,8,True
100,4096,99,15,180012,578374,10,True
101,4096,100,15,179306,595102,19,True
102,4096,101,15,186272,598424,16,True
103,4096,102,16,182649,584892,14,True
104,4096,103,15,179327,570872,11,True
105,4096,104,15,178710,582681,8,True
106,4096,105,15,176014,591563,18,True
107,4096,106,16,173821,564300,10,True
108,4096,107,16,177820,604405,11,True
109,4096,108,16,173029,595044,28,True
110,4096,109,15,171784,573615,8,True
111,4096,110,16,181693,585268,14,True
112,4096,111,29,168439,583678,8,True
113,4096,112,15,168928,596949,8,True
114,4096,113,15,175081,580203,9,True
115,4096,114,17,174996,578131,12,True
116,4096,115,15,163767,575596,8,True
117,4096,116,15,177181,581887,8,True
118,4096,117,15,176399,580842,8,True
119,4096,118,16,172029,595970,9,True
120,4096,119,15,169020,579253,10,True
121,4096,120,15,175359,572766,9,True
122,4096,121,15,179769,572846,10,True
123,4096,122,16,179174,580277,13,True
124,4096,123,16,178170,579677,15,True
125,4096,124,15,171811,673346,18,True
126,4096,125,15,178002,607964,11,True
