Chunk_ID,Size_Bytes,SeqNum,HashTime_uS,UploadLatency_uS,FetchLatency_uS,VerifyTime_uS,Valid
1,4096,0,38,177317,600050,16,True
2,4096,1,18,181771,572567,16,True
3,4096,2,16,192024,608542,12,True
4,4096,3,15,183666,591622,9,True
5,4096,4,13,185485,590741,12,True
6,4096,5,12,169763,598857,9,True
7,4096,6,12,182879,582063,10,True
8,4096,7,11,198161,616427,17,True
9,4096,8,10,178112,599456,11,True
10,4096,9,10,182965,605583,18,True
11,4096,10,11,177986,597667,16,True
12,4096,11,10,175127,618994,15,True
13,4096,12,10,179881,588415,9,True
14,4096,13,10,187495,582226,13,True
15,4096,14,11,182022,590460,8,True
16,4096,15,11,174301,595607,17,True
17,4096,16,11,173239,596639,8,True
18,4096,17,10,183397,599982,11,True
19,4096,18,217,180142,602936,10,True
20,4096,19,14,184057,586843,16,True
21,4096,20,24,181452,585997,13,True
22,4096,21,24,185815,587053,14,True
23,4096,22,12,183746,593573,10,True
24,4096,23,38,178329,596996,16,True
25,4096,24,35,177461,590072,15,True
26,4096,25,34,195386,590702,9,True
27,4096,26,33,189663,596112,11,True
28,4096,27,19,181480,604935,12,True
29,4096,28,31,180627,600666,8,True
30,4096,29,32,195934,608728,8,True
31,4096,30,17,183157,607117,12,True
32,4096,31,15,172239,607166,13,True
33,4096,32,32,184304,592620,8,True
34,4096,33,33,184191,584069,8,True
35,4096,34,16,173606,592938,11,True
36,4096,35,16,170874,606807,12,True
37,4096,36,15,174348,615665,8,True
38,4096,37,34,251442,664617,10,True
39,4096,38,80,192539,626477,14,True
40,4096,39,15,177849,597864,12,True
41,4096,40,36,169202,599756,9,True
42,4096,41,35,179103,584656,8,True
43,4096,42,18,180199,616826,9,True
44,4096,43,18,302431,598775,14,True
45,4096,44,18,172175,608050,11,True
46,4096,45,42,180188,587367,13,True
47,4096,46,33,174987,598118,10,True
48,4096,47,51,181263,600705,8,True
49,4096,48,43,166912,577327,12,True
50,4096,49,43,162700,605153,11,True
51,4096,50,53,178999,596504,21,True
52,4096,51,38,166624,660894,12,True
53,4096,52,44,173874,601888,13,True
54,4096,53,43,181705,605774,9,True
55,4096,54,17,175245,595679,9,True
56,4096,55,47,175844,608930,9,True
57,4096,56,43,184723,594571,10,True
58,4096,57,43,181300,595577,13,True
59,4096,58,17,177254,598905,14,True
60,4096,59,16,172409,597680,14,True
61,4096,60,15,170241,598304,13,True
62,4096,61,15,166907,589040,12,True
63,4096,62,16,181672,599447,13,True
64,4096,63,15,167947,607619,13,True
65,4096,64,15,179005,590763,9,True
66,4096,65,15,183941,585137,9,True
67,4096,66,16,185292,609087,9,True
68,4096,67,15,178212,616563,8,True
69,4096,68,15,190221,601558,9,True
70,4096,69,15,184917,595691,8,True
71,4096,70,62,177045,605445,13,True
72,4096,71,15,181179,600404,11,True
73,4096,72,15,179503,597469,10,True
74,4096,73,15,176209,605130,14,True
75,4096,74,16,183541,612720,8,True
76,4096,75,15,175219,598758,9,True
77,4096,76,15,191128,619626,9,True
78,4096,77,15,176005,622059,8,True
79,4096,78,16,180038,626103,8,True
80,4096,79,15,174960,594974,13,True
81,4096,80,15,176512,617416,13,True
82,4096,81,15,179110,603791,8,True
83,4096,82,16,177936,617523,8,True
84,4096,83,15,172833,603686,8,True
85,4096,84,35,182202,613507,8,True
86,4096,85,30,181309,587023,9,True
87,4096,86,18,180609,577031,11,True
88,4096,87,36,180847,601195,19,True
89,4096,88,32,186134,593942,9,True
90,4096,89,15,185350,598270,9,True
91,4096,90,16,183162,596667,12,True
92,4096,91,34,177623,597767,12,True
93,4096,92,33,180352,597337,8,True
94,4096,93,33,195223,589148,10,True
95,4096,94,58,181087,592333,10,True
96,4096,95,37,183332,609413,9,True
97,4096,96,33,178697,594722,8,True
98,4096,97,33,183143,626642,15,True
99,4096,98,301,190569,617264,12,True
100,4096,99,38,176966,586989,9,True
101,4096,100,32,185107,605872,10,True
102,4096,101,17,176346,650235,15,True
103,4096,102,17,180645,616151,14,True
104,4096,103,20,176815,611492,8,True
105,4096,104,31,177609,610191,13,True
106,4096,105,18,193088,676152,18,True
107,4096,106,34,192628,645837,16,True
108,4096,107,20,185427,587413,12,True
109,4096,108,36,184534,597843,10,True
110,4096,109,36,181326,589744,9,True
111,4096,110,96,170045,594705,11,True
112,4096,111,19,187236,599579,11,True
113,4096,112,35,180369,608830,8,True
114,4096,113,36,189815,604894,10,True
115,4096,114,1388,176878,617137,9,True
116,4096,115,15,172398,600203,15,True
117,4096,116,15,175285,597089,10,True
118,4096,117,14,181967,617777,10,True
119,4096,118,15,185792,593384,13,True
120,4096,119,15,180366,628695,8,True
121,4096,120,15,193939,636839,10,True
