Chunk_ID,Size_Bytes,SeqNum,HashTime_uS,UploadLatency_uS,FetchLatency_uS,VerifyTime_uS,Valid
1,4096,0,37,372563,627391,14,True
2,4096,1,18,288858,610012,9,True
3,4096,2,17,181459,599243,8,True
4,4096,3,40,187699,593801,13,True
5,4096,4,29,179707,606159,11,True
6,4096,5,28,178944,607563,8,True
7,4096,6,13,195957,595919,8,True
8,4096,7,37,196135,695939,14,True
9,4096,8,12,173681,592692,9,True
10,4096,9,26,184237,597084,11,True
11,4096,10,12,176519,613248,15,True
12,4096,11,30,179012,606093,8,True
13,4096,12,22,181586,588924,9,True
14,4096,13,23,177414,608673,9,True
15,4096,14,34,188667,587153,16,True
16,4096,15,22,177284,605409,16,True
17,4096,16,29,190713,608734,8,True
18,4096,17,12,182964,602690,9,True
19,4096,18,24,172145,596378,14,True
20,4096,19,24,189331,606843,12,True
21,4096,20,32,190420,609454,9,True
22,4096,21,36,194473,585535,9,True
23,4096,22,50,173536,617192,11,True
24,4096,23,38,184719,607876,13,True
25,4096,24,33,183616,604277,13,True
26,4096,25,15,185293,613814,8,True
27,4096,26,140,193118,597845,12,True
28,4096,27,38,190468,595752,11,True
29,4096,28,32,189675,589877,14,True
30,4096,29,33,178944,608411,8,True
31,4096,30,16,187183,612506,8,True
32,4096,31,37,180887,585564,9,True
33,4096,32,33,191140,591861,9,True
34,4096,33,33,181151,614657,11,True
35,4096,34,96,188739,597923,10,True
36,4096,35,34,187984,617593,8,True
37,4096,36,33,184399,599272,12,True
38,4096,37,43,189703,611632,8,True
39,4096,38,93,192134,603763,12,True
40,4096,39,34,182939,608516,9,True
41,4096,40,35,174297,607185,9,True
42,4096,41,35,178835,584629,8,True
43,4096,42,310,180512,625702,8,True
44,4096,43,37,177815,621615,9,True
45,4096,44,36,183972,606050,8,True
46,4096,45,36,175808,630474,10,True
47,4096,46,102,179350,612178,9,True
48,4096,47,38,185016,599680,13,True
49,4096,48,34,183569,606643,13,True
50,4096,49,34,187196,604877,21,True
51,4096,50,16,185027,621144,16,True
52,4096,51,36,179031,649219,17,True
53,4096,52,34,184375,612988,9,True
54,4096,53,32,185105,594141,11,True
55,4096,54,17,182248,609920,8,True
56,4096,55,38,183279,593899,15,True
57,4096,56,32,187662,604532,8,True
58,4096,57,15,191560,593878,8,True
59,4096,58,20,180269,623823,8,True
60,4096,59,16,179913,588872,8,True
61,4096,60,34,192374,610453,8,True
62,4096,61,33,187270,609485,8,True
63,4096,62,255,192495,603128,13,True
64,4096,63,21,202574,606637,9,True
65,4096,64,49,179684,593826,8,True
66,4096,65,43,186424,612330,8,True
67,4096,66,37,191925,600110,12,True
68,4096,67,51,177789,588087,12,True
69,4096,68,47,178918,599163,9,True
70,4096,69,42,185606,601640,8,True
71,4096,70,93,175169,606354,8,True
72,4096,71,20,190441,597134,15,True
73,4096,72,19,181033,610633,9,True
74,4096,73,60,179709,586105,8,True
75,4096,74,47,182423,609630,13,True
76,4096,75,49,186036,601891,9,True
77,4096,76,43,185232,599479,8,True
78,4096,77,48,172647,607826,13,True
79,4096,78,16,192356,595289,13,True
80,4096,79,43,187874,597081,8,True
81,4096,80,32,192479,604709,16,True
82,4096,81,32,187314,591952,13,True
83,4096,82,17,188873,599117,14,True
84,4096,83,17,175663,593298,8,True
85,4096,84,16,181516,602619,9,True
86,4096,85,16,177857,614526,8,True
87,4096,86,16,186146,596435,8,True
88,4096,87,17,174398,615572,12,True
89,4096,88,15,177605,670501,8,True
90,4096,89,16,177032,593380,13,True
91,4096,90,17,189433,610836,11,True
92,4096,91,16,193988,610772,10,True
93,4096,92,15,185177,602236,23,True
94,4096,93,15,182817,598645,19,True
95,4096,94,150,188351,630934,8,True
96,4096,95,18,187013,594428,8,True
97,4096,96,16,189070,603883,9,True
98,4096,97,16,188452,586671,9,True
99,4096,98,16,181594,594926,9,True
100,4096,99,16,181051,601995,8,True
101,4096,100,15,186402,613382,19,True
102,4096,101,16,184888,623395,12,True
103,4096,102,16,185303,613936,17,True
104,4096,103,17,187934,751913,11,True
105,4096,104,15,191284,610593,9,True
106,4096,105,15,184528,589561,12,True
107,4096,106,200,187153,618766,8,True
108,4096,107,16,175335,609290,9,True
109,4096,108,16,184044,595643,13,True
110,4096,109,16,183223,585934,20,True
111,4096,110,16,183000,590009,9,True
112,4096,111,17,216784,600435,8,True
113,4096,112,15,191131,625690,12,True
114,4096,113,15,177485,599600,9,True
115,4096,114,49,195246,596592,9,True
116,4096,115,17,185794,601890,9,True
117,4096,116,15,181793,595843,11,True
118,4096,117,15,192622,594394,9,True
119,4096,118,23,187924,597317,16,True
120,4096,119,16,176470,608385,12,True
121,4096,120,16,185943,603848,15,True
122,4096,121,16,187675,602601,9,True
123,4096,122,16,188429,607751,13,True
124,4096,123,17,180254,595632,8,True
125,4096,124,15,191300,615261,10,True
126,4096,125,16,183674,590723,9,True
127,4096,126,16,183851,608741,9,True
128,4096,127,17,179369,623430,9,True
129,4096,128,16,190673,607106,9,True
130,4096,129,16,188471,602975,8,True
131,4096,130,16,176973,600823,14,True
132,4096,131,16,184305,590095,9,True
133,4096,132,16,179128,595928,13,True
134,4096,133,16,182075,704045,19,True
135,4096,134,23,181095,652509,11,True
